symbol,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,settlement,upper_limit,lower_limit,pre_open_interest,pre_settlement,pre_close,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
SHFE.ru2105C11000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,2631.0,1126.0,0,1879.0,1879.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C11250,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,2459.0,954.0,0,1707.0,1707.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C11500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,2296.0,791.0,0,1544.0,1544.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C11750,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,2146.0,641.0,0,1394.0,1394.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C12000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,2006.0,501.0,0,1254.0,1254.0,1400.0,5,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C12250,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,1874.0,369.0,0,1122.0,1122.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C12500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,7,nan,1753.0,248.0,7,1001.0,1001.0,nan,0,328.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C12750,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,1643.0,138.0,0,891.0,891.0,nan,0,142.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C13000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,1542.0,37.0,0,790.0,790.0,nan,0,41.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C13250,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,1448.0,1.0,0,696.0,696.0,nan,0,7.0,1,nan,0,5.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C13500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,4,nan,1367.0,1.0,4,615.0,615.0,nan,0,21.0,1,nan,0,19.0,1,nan,0,18.0,10,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C13750,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,2,nan,1292.0,1.0,2,540.0,540.0,nan,0,21.0,1,nan,0,19.0,1,nan,0,18.0,10,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C14000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,4,nan,1223.0,1.0,4,471.0,471.0,nan,0,114.0,1,nan,0,112.0,1,nan,0,111.0,1,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C14250,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,5,nan,1165.0,1.0,5,413.0,413.0,nan,0,116.0,1,nan,0,114.0,1,nan,0,111.0,1,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C14500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,5,nan,1110.0,1.0,5,358.0,358.0,nan,0,114.0,1,nan,0,112.0,1,nan,0,111.0,1,nan,0,nan,0,nan,0,nan,0
